,id,text,class,subclass
143,F1_REQ_00113,General purpose radio should support automatic fax.,NFR,Maintainability
144,F1_REQ_00114,Operational radio should support automatic fax.,NFR,Maintainability
145,F1_REQ_00115,Cab radio should support train control applications.,NFR,Maintainability
146,F1_REQ_00116,General purpose radio should support train control applications.,NFR,Maintainability
147,F1_REQ_00117,Operational radio should support train control applications.,NFR,Maintainability
148,F1_REQ_00118,Cab radio shall support EIRENE closed user group.,FR,Functional
149,F1_REQ_00119,General purpose radio should support EIRENE closed user group.,NFR,Maintainability
150,F1_REQ_00120,Operational radio shall support EIRENE closed user group.,FR,Functional
151,F1_REQ_00121,Cab radio shall support unconditional call forwarding.,FR,Functional
152,F1_REQ_00122,General purpose radio should support unconditional call forwarding.,NFR,Maintainability
153,F1_REQ_00123,Operational radio should support unconditional call forwarding.,NFR,Maintainability
154,F1_REQ_00124,"Cab radio should support ""if user busy"" call forwarding.",NFR,Maintainability
155,F1_REQ_00125,"General purpose radio should support ""if user busy"" call forwarding.",NFR,Maintainability
156,F1_REQ_00126,"Operational radio should support ""if user busy"" call forwarding.",NFR,Maintainability
157,F1_REQ_00127,"Cab radio should support ""if no reply"" call forwarding.",NFR,Maintainability
158,F1_REQ_00128,"General purpose radio should support ""if no reply"" call forwarding.",NFR,Maintainability
159,F1_REQ_00129,"Operational radio should support ""if no reply"" call forwarding.",NFR,Maintainability
160,F1_REQ_00130,"Cab radio should support ""if not reachable"" call forwarding.",NFR,Maintainability
161,F1_REQ_00131,"General purpose radio should support ""if not reachable"" call forwarding.",NFR,Maintainability
162,F1_REQ_00132,"Operational radio should support ""if not reachable"" call forwarding.",NFR,Maintainability
163,F1_REQ_00133,Cab radio shall support call hold.,FR,Functional
164,F1_REQ_00134,General purpose radio should support call hold.,NFR,Maintainability
165,F1_REQ_00135,Operational radio should support call hold.,NFR,Maintainability
166,F1_REQ_00136,Cab radio should support display of call charging information.,NFR,Maintainability
167,F1_REQ_00137,General purpose radio should support display of call charging information.,NFR,Maintainability
168,F1_REQ_00138,Operational radio should support display of call charging information.,NFR,Maintainability
169,F1_REQ_00139,Cab radio shall support call barring.,FR,Functional
170,F1_REQ_00140,General purpose radio should support call barring.,NFR,Maintainability
171,F1_REQ_00141,Operational radio shall support call barring.,FR,Functional
172,F1_REQ_00142,Cab radio shall support auto answer service.,FR,Functional
173,F1_REQ_00143,General purpose radio should support auto answer service.,NFR,Maintainability
174,F1_REQ_00144,Operational radio shall support auto answer service.,FR,Functional
175,F1_REQ_00145,Cab radio shall support call supervisory information.,FR,Functional
176,F1_REQ_00146,General purpose radio should support call supervisory information.,NFR,Maintainability
177,F1_REQ_00147,Operational radio should support call supervisory information.,NFR,Maintainability
178,F1_REQ_00148,Cab radio shall support location dependent addressing (section 11).,FR,Functional
179,F1_REQ_00149,General purpose radio should support location dependent addressing (section 11).,NFR,Maintainability
180,F1_REQ_00150,Operational radio should support location dependent addressing (section 11).,NFR,Maintainability
181,F1_REQ_00151,Cab radio should support direct mode (section 15).,NFR,Maintainability
182,F1_REQ_00152,Operational radio should support direct mode (section 15).,NFR,Maintainability
183,F1_REQ_00153,Cab radio shall support shunting mode (section 14).,FR,Functional
184,F1_REQ_00154,Operational radio should support shunting mode (section 14).,NFR,Maintainability
185,F1_REQ_00155,Cab radio shall support multiple driver communications within the same train (section 5).,FR,Functional
186,F1_REQ_00156,"Any environmental and physical requirements stated may be superseded by national requirements if the national standards provide a higher level of environmental and physical protection. However, stricter national standards shall not prevent the use of other EIRENE mobiles in that country.",FR,Functional
187,F1_REQ_00157,"All design, testing and installation of EIRENE mobile radio equipment shall comply with the quality procedures defined in ISO 90014.",FR,Functional
188,F1_REQ_00158,"Any pressure pulses caused by vehicles passing, entering or leaving tunnels shall not affect the normal operation of EIRENE mobile equipment.",FR,Functional
189,F1_REQ_00159,"The design of EIRENE mobiles shall comply with the relevant European Norms for protection against physical hazards, including pollution, chemical contaminants, flammable substances, biologically active substances, dust, sand and heavy particles, and mould growth.",FR,Functional
190,F1_REQ_00160,All EIRENE mobile equipment shall be capable of being operated on board rolling stock.,FR,Functional
191,F1_REQ_00161,The batteries to be used in the mobile equipment shall have sufficient capacity to support typical railway use.,FR,Functional
192,F1_REQ_00162,A driver may be provided with a handheld portable to allow communications whilst the driver is outside the train.,FR,Functional
193,F1_REQ_00163,Once a call has been established the connected parties shall be able to communicate.,FR,Functional
194,F1_REQ_00164,Picking up the handset shall transfer the communication to the handset and reduce the loudspeaker volume to its minimum level.,FR,Functional
195,F1_REQ_00165,Replacing the handset shall cancel the call.,FR,Functional
196,F1_REQ_00166,Replacing the handset shall transfer the call to the loudspeaker at the initial volume.,FR,Functional
197,F1_REQ_00167,A Push-To-Talk function shall be provided for use during group calls.,FR,Functional
198,F1_REQ_00168,It shall be possible for the driver to initiate a call to the primary controller with a minimum of driver action.,FR,Functional
199,F1_REQ_00169,It shall be possible for the driver to initiate a call to the secondary controller with a minimum of driver action.,FR,Functional
200,F1_REQ_00170,It shall be possible for the driver to initiate a call to the power supply controller with a minimum of driver action.,FR,Functional
201,F1_REQ_00171,"Once an appropriate destination has been obtained, the radio shall attempt to establish a call to this destination.",FR,Functional
202,F1_REQ_00172,The functional identity shall be displayed to the controller (upon call establishment).,FR,Functional
203,F1_REQ_00173,"The functional identity displayed shall include the train number, if available.",FR,Functional
204,F1_REQ_00174,"The functional identity displayed shall include the engine number, if no train number is available.",FR,Functional
205,F1_REQ_00175,"The functional identity displayed should include the coach number of the leading cab, if neither a train number nor an engine number is available.",NFR,Functional
206,F1_REQ_00176,An audible and visual indication shall be provided to the driver that the call is proceeding.,FR,Functional
207,F1_REQ_00177,"When the call is connected to the controller, an audible and visual indication is to be provided to the driver.",FR,Functional
208,F1_REQ_00178,The call shall be connected to the loudspeaker at the pre-set value (when connected to the controller).,FR,Functional
209,F1_REQ_00179,"The functional identity of the connected party, if available, shall be displayed to the driver.",FR,Functional
210,F1_REQ_00180,"If the functional identity of the connected party contains an alphanumeric description, this shall also be displayed.",FR,Functional
211,F1_REQ_00181,"If the system is not able to connect the call, an audible and visual indication shall be provided to the driver that the call was not received by the controller.",FR,Functional
212,F1_REQ_00182,The indication for a failed connection shall also indicate if the called party was busy or if the network could not connect the call.,FR,Functional
213,F1_REQ_00183,It shall be possible for a driver to initiate and participate in group voice calls between drivers in a pre-defined geographical area.,FR,Functional
214,F1_REQ_00184,A driver shall be able to initiate the establishment of a call to other drivers with a minimum of action (eg a single keystroke).,FR,Functional
215,F1_REQ_00185,The group identity shall be displayed on the Cab radios of the participating drivers.,FR,Functional
216,F1_REQ_00186,An audible and visual indication shall be provided to the driver that the call is proceeding (for calls to other drivers).,FR,Functional
217,F1_REQ_00187,"Once connected, the driver shall be able to communicate with other driver(s) by using the Push-To-Talk button on the handset.",FR,Functional
218,F1_REQ_00188,An indication shall be provided to the driver as a reminder of the need to use the Push-To-Talk button on the handset if he wants to talk.,FR,Functional
219,F1_REQ_00189,The call shall be connected to the loudspeaker until the driver picks up the handset (for calls to other drivers).,FR,Functional
220,F1_REQ_00190,"The call shall continue until terminated by the calling driver, an authorised controller or the network.",FR,Functional
221,F1_REQ_00191,"If the train moves out of the group call area whilst the call is in progress, an audible and visual indication of the loss of call shall be provided to the driver.",FR,Functional
222,F1_REQ_00192,"If the system is not able to connect the call, an audible and visual indication shall be provided to the driver (for calls to other drivers).",FR,Functional
223,F1_REQ_00193,It shall be possible for a driver to initiate Railway emergency calls (see section 13).,FR,Functional
224,F1_REQ_00194,"If a train-borne recorder is connected to the Cab radio, details of the activation, termination and any failures of the emergency function shall be sent to the train-borne recorder as each event occurs.",NFR,Reliability
225,F1_REQ_00195,"A continuous visual and short audible indication (from 0 to 20 seconds, for trials: 5 seconds) that the emergency function has been activated shall be provided in the cab.",FR,Functional
226,F1_REQ_00196,"When the handset is off-hook, the audible indication (for emergency activation) shall be sounded from the loudspeaker at a low volume, but shall not be sounded from the handset.",FR,Functional
227,F1_REQ_00197,"Once the Railway emergency call is connected and the audible indication is finished, an indication shall be provided to the driver as a reminder of the need to use the Push-To-Talk button on the handset if he wants to speak.",FR,Functional
228,F1_REQ_00198,The Railway emergency call shall be connected to the loudspeaker until the driver picks up the handset.,FR,Functional
229,F1_REQ_00199,"If the train moves out of the call area whilst the Railway emergency call is in progress, it will leave the call and an audible and visual indication of the loss of call shall be provided to the driver.",FR,Functional
230,F1_REQ_00200,"Once the Railway emergency call is terminated, the continuous visual alarm indication in the cab shall cease.",FR,Functional
231,F1_REQ_00201,"If the system is not able to connect the Railway emergency call, an audible and visual indication shall be provided to the driver.",FR,Functional
232,F1_REQ_00202,It shall be possible for the lead driver to establish a permanent radio connection between each of the active cabs of multiple traction vehicles not connected by on-train wire connections.,FR,Functional
233,F1_REQ_00203,"Whilst an on-going multi-driver call, a ‘multi-drivers' indication shall be displayed permanently at all Cab radios.",FR,Functional
234,F1_REQ_00204,"The lead driver shall be notified if a member of the group has placed the multi-driver call on hold, although this shall not affect communications between the remaining members of the group.",FR,Functional
235,F1_REQ_00205,"At any time during a multi-driver call, the lead driver shall be able to remove a member of the group.",FR,Functional
236,F1_REQ_00206,The lead driver shall be able to terminate the entire multi-driver call.,FR,Functional
237,F1_REQ_00207,"If a driver is disconnected from the multi-driver call, a clear indication shall be given.",FR,Functional
238,F1_REQ_00208,The setting up and closing down of a multi-driver call shall be simplified using automation or guidance through the steps required.,FR,Functional
239,F1_REQ_00209,"In each cab, the multi-driver call shall be connected to the loudspeaker whilst the handset is on-hook.",FR,Functional
240,F1_REQ_00210,"If any part of a multi-driver call fails, an audible and visual indication shall be provided in the appropriate cab.",FR,Functional
241,F1_REQ_00211,"For calls between a controller and the lead cab, it shall be possible to add the controller to the multi-driver call.",FR,Functional
242,F1_REQ_00212,"If the controller calls the lead driver (in a controller-lead cab call), the controller is automatically added into the multi-driver call.",NFR,Functional
243,F1_REQ_00213,Functional identity of the controller shall be displayed in the leading cab (in a controller-lead cab call).,FR,Functional
244,F1_REQ_00214,It shall be possible for the driver to contact members of on-board train staff using a point-to-point voice call.,FR,Functional
245,F1_REQ_00215,"Upon activation of the function to call train staff, the Cab radio shall provide the driver with a list of 'generic' staff, e.g. chief conductor, conductor 1, conductor 2, catering staff 1.",FR,Functional
246,F1_REQ_00216,The driver shall then be prompted to select the train staff with which he wishes to communicate.,FR,Functional
247,F1_REQ_00217,The Cab radio shall be integrated with internal communication systems such that the appropriate means of connection (wire or radio) will be determined automatically for staff connected by intercom or internal telephone.,FR,Functional
248,F1_REQ_00218,"The Cab radio shall be capable of being used as a standard telephone, such that the driver is able to call any valid number subject to pre-defined call restrictions.",FR,Functional
249,F1_REQ_00219,The call from the Cab radio may be initiated by selection from a pre-defined list (up to 99 entries).,NFR,Functional
250,F1_REQ_00220,The call from the Cab radio may be initiated by direct dialling a subscriber number.,NFR,Functional
251,F1_REQ_00221,The call from the Cab radio may be initiated by calling a functional number.,NFR,Functional
252,F1_REQ_00222,An audible and visual indication of an incoming call shall be provided (for point-to-point voice call).,FR,Functional
253,F1_REQ_00223,"The functional identity (which may contain an alphanumeric description) of the calling party, when available, shall be displayed.",FR,Functional
254,F1_REQ_00224,Point-to-point calls that are not automatically answered (see table 10-1) shall only be answered once the driver accepts the call.,FR,Functional
255,F1_REQ_00225,"Once the driver has accepted the standard point-to-point call, it shall be connected appropriately, e.g. if the driver has accepted the call by lifting the handset, then the call shall be routed to the handset.",FR,Functional
256,F1_REQ_00226,An audible and visual indication of the incoming call shall be provided when a Cab radio receives a group or broadcast call.,FR,Functional
257,F1_REQ_00227,The group identity of the voice group call (VBS or VGCS) shall be displayed.,FR,Functional
258,F1_REQ_00228,"Group or broadcast calls shall automatically be connected to the loudspeaker if the handset is not in use, or to the handset if the handset is off hook.",FR,Functional
259,F1_REQ_00229,The driver shall be informed if a broadcast call is ongoing by a visual indication displayed on the MMI.,FR,Functional
260,F1_REQ_00230,"If the call is a group call, the driver shall be required to request permission before being able to speak as part of the call by lifting the handset and pushing the Push-To-Talk (PTT) button.",FR,Functional
261,F1_REQ_00231,"During a group call, a visual indication shall be displayed on the driver's MMI to remind the driver of the need to use the PTT button.",FR,Functional
262,F1_REQ_00232,"In a group call, an audible and visual indication of whether the request to talk was successful shall be provided.",FR,Functional
263,F1_REQ_00233,The driver shall then be able to speak as part of the call whilst the PTT button is pressed.,FR,Functional
264,F1_REQ_00234,"If the train moves out of the group or broadcast call area whilst the call is in progress, an audible and visual indication of the loss of call shall be provided to the driver.",FR,Functional
265,F1_REQ_00235,"Reception of an incoming Railway emergency call shall proceed as for a standard group or broadcast call, except that a distinctive audible and visual indication shall be provided in the cab.",FR,Functional
266,F1_REQ_00236,"If a train-borne recorder is connected to the Cab radio, details of an incoming Railway emergency call shall be transmitted to the train-borne recorder for recording, see section 5.8.",FR,Functional
267,F1_REQ_00237,An automatic confirmation shall be generated by the Cab radio at the end of the Railway emergency call as detailed in section 13.,FR,Functional
268,F1_REQ_00238,The Cab radio shall provide a means for the driver to terminate calls which he is authorised to terminate (i.e. all calls except Railway emergency calls not initiated by the driver and shunting group calls).,FR,Functional
269,F1_REQ_00239,"For group or broadcast calls, a means to leave the call without terminating the call shall be provided.",FR,Functional
270,F1_REQ_00240,The Cab radio system shall be able to receive incoming text messages (see section 12 for details).,FR,Functional
271,F1_REQ_00241,The Cab radio shall support a ‘shunting mode' of operation that provides a link assurance tone to reassure users of the integrity of the communication link (see section 14).,FR,Functional
272,F1_REQ_00242,A means to enter and leave shunting mode shall be provided.,FR,Functional
273,F1_REQ_00243,The functionality to enter and leave shunting mode shall not be available when there are on-going calls involving the Cab radio.,FR,Functional
274,F1_REQ_00244,The link assurance tone shall be provided via the loudspeaker.,FR,Functional
275,F1_REQ_00245,"It should be possible for the Cab radio to be used without the network service (if it should fail or if there is no authorised network coverage), such that local open channel communications are still possible (direct mode).",NFR,Security
276,F1_REQ_00246,"If direct mode is implemented, a means to enter and leave direct mode shall be provided.",FR,Functional
