requirement_id,project_id,project_name,dataset_id,text,class,global_id,source,type,subclass
REQ015,PROJ-01,Zenodo System,SRSCD-Zenodo,"As far as possible, the system should provide a simple, responsive interface.",NFR,F0_REQ_00014,file_0,NFR,Unknown
REQ016,PROJ-01,Zenodo System,SRSCD-Zenodo,The system must be backed up on a configurable schedule.,FR,F0_REQ_00015,file_0,NFR,Unknown
REQ017,PROJ-01,Zenodo System,SRSCD-Zenodo,The system must have the ability and capacity to restore back-up data within six hours so that the system is never offline for an inordinate period of time.,NFR,F0_REQ_00016,file_0,NFR,Unknown
REQ018,PROJ-01,Zenodo System,SRSCD-Zenodo,"The system should be available 24 hours a day, 7 days a week.",NFR,F0_REQ_00017,file_0,NFR,Unknown
REQ019,PROJ-01,Zenodo System,SRSCD-Zenodo,99% up-time should be considered sufficient to meet this requirement.,NFR,F0_REQ_00018,file_0,NFR,Unknown
REQ020,PROJ-01,Zenodo System,SRSCD-Zenodo,The system should support at least 1000 concurrent users.,NFR,F0_REQ_00019,file_0,NFR,Unknown
REQ021,PROJ-01,Zenodo System,SRSCD-Zenodo,The system must be maintainable without substantial modification.,NFR,F0_REQ_00020,file_0,NFR,Unknown
REQ022,PROJ-01,Zenodo System,SRSCD-Zenodo,"Relevant, online documentation for users should be available on each page.",FR,F0_REQ_00021,file_0,NFR,Unknown
REQ023,PROJ-01,Zenodo System,SRSCD-Zenodo,Users must have easy access to help while interacting with the system.,NFR,F0_REQ_00022,file_0,NFR,Unknown
REQ024,PROJ-01,Zenodo System,SRSCD-Zenodo,Adequate user documentation should be provided to minimize the number of calls to the Help Desk about problems with the system.,NFR,F0_REQ_00023,file_0,NFR,Unknown
REQ025,PROJ-01,Zenodo System,SRSCD-Zenodo,Modifications should be reported via the main page to inform actors of unexpected changes.,FR,F0_REQ_00024,file_0,NFR,Unknown
REQ026,PROJ-01,Zenodo System,SRSCD-Zenodo,This electronic documentation should be supplemented with phone and on-site support provided by the Office of Information Services.,NFR,F0_REQ_00025,file_0,NFR,Unknown
REQ027,PROJ-01,Zenodo System,SRSCD-Zenodo,"System administrators must have access to comprehensive, searchable documentation.",FR,F0_REQ_00026,file_0,NFR,Unknown
REQ028,PROJ-01,Zenodo System,SRSCD-Zenodo,A comprehensive database of maintenance tasks and help files should be compiled to make the courseware system easier to maintain from an IT staff point-of-view.,NFR,F0_REQ_00027,file_0,NFR,Unknown
REQ029,PROJ-01,Zenodo System,SRSCD-Zenodo,Search results should be displayed based on relevance.,NFR,F0_REQ_00028,file_0,NFR,Unknown
REQ030,PROJ-01,Zenodo System,SRSCD-Zenodo,"This documentation must cover all procedures necessary for regular maintenance with links to additional information, all common errors, and links or documentation for advanced troubleshooting.",FR,F0_REQ_00029,file_0,NFR,Unknown
REQ001,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide text message bearer service.,FR,F1_REQ_00000,file_1,NFR,Unknown
REQ002,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide bearer service for general data applications.,FR,F1_REQ_00001,file_1,NFR,Unknown
REQ003,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide bearer service for automatic fax.,FR,F1_REQ_00002,file_1,NFR,Unknown
REQ004,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide bearer service for train control applications.,FR,F1_REQ_00003,file_1,NFR,Unknown
REQ005,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide closed user group service.,FR,F1_REQ_00004,file_1,NFR,Unknown
REQ006,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide multi-level priority and pre-emption.,FR,F1_REQ_00005,file_1,NFR,Unknown
REQ007,PROJ-01,Zenodo System,SRSCD-Zenodo,"The EIRENE network shall provide advanced call handling, such as call hold, call transfer, call queuing, etc.",FR,F1_REQ_00006,file_1,NFR,Unknown
REQ008,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide auto answer service.,FR,F1_REQ_00007,file_1,NFR,Unknown
REQ009,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide barring incoming or outgoing calls.,FR,F1_REQ_00008,file_1,NFR,Unknown
REQ010,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide call supervisory indications.,FR,F1_REQ_00009,file_1,NFR,Unknown
REQ011,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide charging information.,FR,F1_REQ_00010,file_1,NFR,Unknown
REQ012,PROJ-01,Zenodo System,SRSCD-Zenodo,"The EIRENE network shall support functional addressing by train, engine or coach number or functional number.",FR,F1_REQ_00011,file_1,NFR,Unknown
REQ013,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall support call specific persons depending upon user location.,FR,F1_REQ_00012,file_1,NFR,Unknown
REQ014,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall support a specific mode for shunting operations providing a link assurance signal.,FR,F1_REQ_00013,file_1,NFR,Unknown
REQ015,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall support multiple driver communications within the same train.,FR,F1_REQ_00014,file_1,NFR,Unknown
REQ016,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall support railway operational emergency calls.,FR,F1_REQ_00015,file_1,NFR,Unknown
REQ017,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide a direct mode facility for local set-to-set operation without network infrastructure.,FR,F1_REQ_00016,file_1,NFR,Unknown
REQ018,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide set-up of urgent or frequent calls through single keystroke or similar.,FR,F1_REQ_00017,file_1,NFR,Unknown
REQ019,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide display of functional identity of calling/called party.,FR,F1_REQ_00018,file_1,NFR,Unknown
REQ020,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide fast and guaranteed call set-up.,NFR,F1_REQ_00019,file_1,NFR,Unknown
REQ021,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide seamless communication support for train speeds up to 500 km/h.,NFR,F1_REQ_00020,file_1,NFR,Unknown
REQ022,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide automatic and manual test modes with fault indications.,FR,F1_REQ_00021,file_1,NFR,Unknown
REQ023,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide control over mobile network selection.,FR,F1_REQ_00022,file_1,NFR,Unknown
REQ024,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide control over system configuration.,FR,F1_REQ_00023,file_1,NFR,Unknown
REQ025,PROJ-01,Zenodo System,SRSCD-Zenodo,It shall be possible for applications external to EIRENE to access EIRENE bearer services.,FR,F1_REQ_00024,file_1,NFR,Unknown
REQ026,PROJ-01,Zenodo System,SRSCD-Zenodo,All voice call services shall be able to operate between any combination of fixed and mobile equipment users.,FR,F1_REQ_00025,file_1,NFR,Unknown
REQ027,PROJ-01,Zenodo System,SRSCD-Zenodo,The system shall support point-to-point voice calls between any two call parties.,FR,F1_REQ_00026,file_1,NFR,Unknown
REQ028,PROJ-01,Zenodo System,SRSCD-Zenodo,Such point-to-point calls shall allow both parties to talk simultaneously.,FR,F1_REQ_00027,file_1,NFR,Unknown
REQ029,PROJ-01,Zenodo System,SRSCD-Zenodo,The system shall allow a user to make public emergency point-to-point voice calls.,FR,F1_REQ_00028,file_1,NFR,Unknown
REQ030,PROJ-01,Zenodo System,SRSCD-Zenodo,The system shall support broadcast voice calls.,FR,F1_REQ_00029,file_1,NFR,Unknown
REQ031,PROJ-01,Zenodo System,SRSCD-Zenodo,The composition of call groups shall be able to be modified within the network.,FR,F1_REQ_00030,file_1,NFR,Unknown
REQ032,PROJ-01,Zenodo System,SRSCD-Zenodo,A single user shall be able to be a member of one or more call groups.,FR,F1_REQ_00031,file_1,NFR,Unknown
REQ033,PROJ-01,Zenodo System,SRSCD-Zenodo,The local area over which broadcast calls shall be implemented shall be able to be modified within the network.,FR,F1_REQ_00032,file_1,NFR,Unknown
REQ034,PROJ-01,Zenodo System,SRSCD-Zenodo,"It shall only be possible for the user who initiated the call to talk, other users can only listen (for broadcast calls).",FR,F1_REQ_00033,file_1,NFR,Unknown
REQ035,PROJ-01,Zenodo System,SRSCD-Zenodo,The system shall support group voice calls.,FR,F1_REQ_00034,file_1,NFR,Unknown
REQ036,PROJ-01,Zenodo System,SRSCD-Zenodo,The composition of call groups shall be able to be modified within the network (for group calls).,FR,F1_REQ_00035,file_1,NFR,Unknown
REQ037,PROJ-01,Zenodo System,SRSCD-Zenodo,The local area over which group calls are implemented shall be able to be modified within the network (for group calls).,FR,F1_REQ_00036,file_1,NFR,Unknown
REQ038,PROJ-01,Zenodo System,SRSCD-Zenodo,It shall be possible for controllers to speak at any time during a group call.,FR,F1_REQ_00037,file_1,NFR,Unknown
REQ039,PROJ-01,Zenodo System,SRSCD-Zenodo,A mechanism shall be provided by the system to arbitrate between those users wishing to speak within the group call.,FR,F1_REQ_00038,file_1,NFR,Unknown
REQ040,PROJ-01,Zenodo System,SRSCD-Zenodo,The system shall support multi-party voice communications between up to six different parties.,FR,F1_REQ_00039,file_1,NFR,Unknown
REQ041,PROJ-01,Zenodo System,SRSCD-Zenodo,Any of the parties involved in a multi-party voice call shall be able to talk simultaneously.,FR,F1_REQ_00040,file_1,NFR,Unknown
REQ042,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network should support text messages.,FR,F1_REQ_00041,file_1,NFR,Unknown
REQ043,PROJ-01,Zenodo System,SRSCD-Zenodo,The network should support the receipt of mobile-originated text messages by the ground.,FR,F1_REQ_00042,file_1,NFR,Unknown
REQ044,PROJ-01,Zenodo System,SRSCD-Zenodo,"If the text message facility is implemented, it shall not interfere with the ability of users to make or receive high priority voice or data calls.",NFR,F1_REQ_00043,file_1,NFR,Unknown
REQ045,PROJ-01,Zenodo System,SRSCD-Zenodo,The network shall support point-to-point data communications.,FR,F1_REQ_00044,file_1,NFR,Unknown
REQ046,PROJ-01,Zenodo System,SRSCD-Zenodo,The network shall support data rates of at least 2.4 kbit/s.,NFR,F1_REQ_00045,file_1,NFR,Unknown
REQ047,PROJ-01,Zenodo System,SRSCD-Zenodo,The network should support fax transmissions between the ground and mobile users.,FR,F1_REQ_00046,file_1,NFR,Unknown
REQ048,PROJ-01,Zenodo System,SRSCD-Zenodo,"Where fax functionality is provided, it shall be possible to interrupt the fax to make or receive a high priority voice or data call.",FR,F1_REQ_00047,file_1,NFR,Unknown
REQ049,PROJ-01,Zenodo System,SRSCD-Zenodo,"Where ERTMS/ETCS level 2 or 3 is implemented, the network shall be capable of supporting data communications for that train control system.",FR,F1_REQ_00048,file_1,NFR,Unknown
REQ050,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall support display of identity of called/calling user.,FR,F1_REQ_00049,file_1,NFR,Unknown
REQ051,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network should support restriction of display of called/calling user.,FR,F1_REQ_00050,file_1,NFR,Unknown
REQ052,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall support priority and pre-emption.,FR,F1_REQ_00051,file_1,NFR,Unknown
REQ053,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall support closed user group.,FR,F1_REQ_00052,file_1,NFR,Unknown
REQ054,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall support call forwarding.,FR,F1_REQ_00053,file_1,NFR,Unknown
REQ055,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall support call hold.,FR,F1_REQ_00054,file_1,NFR,Unknown
REQ056,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall support call waiting.,FR,F1_REQ_00055,file_1,NFR,Unknown
REQ057,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network should support charging information.,FR,F1_REQ_00056,file_1,NFR,Unknown
REQ058,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall support call barring.,FR,F1_REQ_00057,file_1,NFR,Unknown
REQ059,PROJ-01,Zenodo System,SRSCD-Zenodo,It shall be possible for the equipment to display the identity of the called or calling party in the form of a standard telephone number.,FR,F1_REQ_00058,file_1,NFR,Unknown
REQ060,PROJ-01,Zenodo System,SRSCD-Zenodo,It shall be possible to display the identity of the called or calling party as a textual description of their function.,FR,F1_REQ_00059,file_1,NFR,Unknown
REQ061,PROJ-01,Zenodo System,SRSCD-Zenodo,"It should be possible for the network to prevent the identity of certain users from being displayed on the mobile, either when being called, calling or both.",FR,F1_REQ_00060,file_1,NFR,Unknown
REQ062,PROJ-01,Zenodo System,SRSCD-Zenodo,The network shall provide a mechanism whereby calls may be assigned one of a number of different priority levels.,FR,F1_REQ_00061,file_1,NFR,Unknown
REQ063,PROJ-01,Zenodo System,SRSCD-Zenodo,This mechanism shall allow calls with a higher assigned priority to override (pre-empt) existing calls of a lower priority.,FR,F1_REQ_00062,file_1,NFR,Unknown
REQ064,PROJ-01,Zenodo System,SRSCD-Zenodo,Pre-empted calls will be discontinued and the new call of a higher priority shall be connected instead.,FR,F1_REQ_00063,file_1,NFR,Unknown
REQ065,PROJ-01,Zenodo System,SRSCD-Zenodo,The group of users who may access the facilities of the EIRENE network shall be limited.,FR,F1_REQ_00064,file_1,NFR,Unknown
REQ066,PROJ-01,Zenodo System,SRSCD-Zenodo,Any user who is not within the list of allowed EIRENE users shall not be able to gain access to any of the functions and services provided by the network.,FR,F1_REQ_00065,file_1,NFR,Unknown
REQ067,PROJ-01,Zenodo System,SRSCD-Zenodo,It shall be possible for an incoming call or data message for one user to be forwarded to another user using functionality provided by the network.,FR,F1_REQ_00066,file_1,NFR,Unknown
REQ068,PROJ-01,Zenodo System,SRSCD-Zenodo,"In the case of voice calls, it shall be possible for the user who is attempting to forward a call to converse with the intended recipient prior to forwarding.",FR,F1_REQ_00067,file_1,NFR,Unknown
REQ069,PROJ-01,Zenodo System,SRSCD-Zenodo,The network shall support automatically forwarding the incoming call without any user interaction (unconditional).,FR,F1_REQ_00068,file_1,NFR,Unknown
REQ070,PROJ-01,Zenodo System,SRSCD-Zenodo,The network shall support automatically forwarding the incoming call without user interaction if the user is busy in an existing call (busy).,FR,F1_REQ_00069,file_1,NFR,Unknown
REQ071,PROJ-01,Zenodo System,SRSCD-Zenodo,The network should support automatically forwarding the incoming call if there is no reply from the intended recipient (no reply).,FR,F1_REQ_00070,file_1,NFR,Unknown
REQ072,PROJ-01,Zenodo System,SRSCD-Zenodo,The network should support automatically forwarding the incoming call if the intended recipient cannot be contacted via the network (not reachable).,FR,F1_REQ_00071,file_1,NFR,Unknown
REQ073,PROJ-01,Zenodo System,SRSCD-Zenodo,The network shall allow the user to temporarily exit from an existing call by putting the call on hold.,FR,F1_REQ_00072,file_1,NFR,Unknown
REQ074,PROJ-01,Zenodo System,SRSCD-Zenodo,It shall be possible for the user to re-join the call which is on hold at any time.,FR,F1_REQ_00073,file_1,NFR,Unknown
REQ075,PROJ-01,Zenodo System,SRSCD-Zenodo,"The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them.",FR,F1_REQ_00074,file_1,NFR,Unknown
REQ076,PROJ-01,Zenodo System,SRSCD-Zenodo,"Where network services are chargeable, it should be possible for the network to provide information about call rates and on-going call charges.",FR,F1_REQ_00075,file_1,NFR,Unknown
REQ077,PROJ-01,Zenodo System,SRSCD-Zenodo,"It shall be possible, using network management or maintenance facilities, to prevent individual users from making calls to another network (fixed or mobile).",FR,F1_REQ_00076,file_1,NFR,Unknown
REQ078,PROJ-01,Zenodo System,SRSCD-Zenodo,"It shall be possible, using network management or maintenance facilities, to prevent individual users from making calls to certain types of numbers within or external to the network.",FR,F1_REQ_00077,file_1,NFR,Unknown
REQ079,PROJ-01,Zenodo System,SRSCD-Zenodo,"It shall be possible, using network management or maintenance facilities, to prevent individual users from making calls to certain pre-defined telephone numbers.",FR,F1_REQ_00078,file_1,NFR,Unknown
REQ080,PROJ-01,Zenodo System,SRSCD-Zenodo,"It shall be possible, using network management or maintenance facilities, to prevent individual users from receiving calls from all other networks (fixed or mobile).",FR,F1_REQ_00079,file_1,NFR,Unknown
REQ081,PROJ-01,Zenodo System,SRSCD-Zenodo,"It shall be possible, using network management or maintenance facilities, to prevent individual users from receiving calls from certain other networks (fixed or mobile).",FR,F1_REQ_00080,file_1,NFR,Unknown
REQ082,PROJ-01,Zenodo System,SRSCD-Zenodo,"It shall be possible, using network management or maintenance facilities, to prevent individual users from receiving calls from certain types of numbers within or external to the network.",FR,F1_REQ_00081,file_1,NFR,Unknown
REQ083,PROJ-01,Zenodo System,SRSCD-Zenodo,"It shall be possible, using network management or maintenance facilities, to prevent individual users from receiving calls from certain pre-defined telephone numbers.",FR,F1_REQ_00082,file_1,NFR,Unknown
REQ084,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide support for functional addressing including registration/deregistration (see section 11).,FR,F1_REQ_00083,file_1,NFR,Unknown
REQ085,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide support for location dependent addressing (see section 11).,FR,F1_REQ_00084,file_1,NFR,Unknown
REQ086,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide support for shunting mode (see section 14).,FR,F1_REQ_00085,file_1,NFR,Unknown
REQ087,PROJ-01,Zenodo System,SRSCD-Zenodo,The EIRENE network shall provide support for Railway emergency calls (see section 13).,FR,F1_REQ_00086,file_1,NFR,Unknown
REQ088,PROJ-01,Zenodo System,SRSCD-Zenodo,The level of coverage should be at least 95% of the time over 95% of the designated coverage area for a radio installed in a vehicle with an external antenna.,NFR,F1_REQ_00087,file_1,NFR,Unknown
REQ089,PROJ-01,Zenodo System,SRSCD-Zenodo,The network shall support all EIRENE-compliant mobiles.,FR,F1_REQ_00088,file_1,NFR,Unknown
REQ090,PROJ-01,Zenodo System,SRSCD-Zenodo,"The land-based part of the system shall provide communications for mobiles when stationary and when travelling at speeds up to the maximum allowable line speed or 500 km/h, whichever is the lower.",NFR,F1_REQ_00089,file_1,NFR,Unknown
REQ091,PROJ-01,Zenodo System,SRSCD-Zenodo,Railway emergency calls call set-up time shall be <2s*.,NFR,F1_REQ_00090,file_1,NFR,Unknown
REQ092,PROJ-01,Zenodo System,SRSCD-Zenodo,Group calls between drivers in the same area call set-up time shall be <5s.,NFR,F1_REQ_00091,file_1,NFR,Unknown
REQ093,PROJ-01,Zenodo System,SRSCD-Zenodo,All operational mobile-to-fixed calls not covered by the above call set-up time should be <5s.,NFR,F1_REQ_00092,file_1,NFR,Unknown
REQ094,PROJ-01,Zenodo System,SRSCD-Zenodo,All operational fixed-to-mobile calls not covered by the above call set-up time should be <7s.,NFR,F1_REQ_00093,file_1,NFR,Unknown
REQ095,PROJ-01,Zenodo System,SRSCD-Zenodo,All operational mobile-to-mobile calls not covered by the above call set-up time should be <10s.,NFR,F1_REQ_00094,file_1,NFR,Unknown
REQ096,PROJ-01,Zenodo System,SRSCD-Zenodo,All low priority calls call set-up time should be <10s.,NFR,F1_REQ_00095,file_1,NFR,Unknown
REQ097,PROJ-01,Zenodo System,SRSCD-Zenodo,The required call set-up times shall be achieved in 95% of cases.,NFR,F1_REQ_00096,file_1,NFR,Unknown
REQ098,PROJ-01,Zenodo System,SRSCD-Zenodo,Call set-up times for 99% of cases shall not be more than 1.5 times the required call set-up time.,NFR,F1_REQ_00097,file_1,NFR,Unknown
REQ099,PROJ-01,Zenodo System,SRSCD-Zenodo,Set-up times shall include the time required for any translation of functional numbers internal to the EIRENE network.,FR,F1_REQ_00098,file_1,NFR,Unknown
REQ100,PROJ-01,Zenodo System,SRSCD-Zenodo,"It shall be possible to determine the area over which a group or broadcast call takes place by one, or a combination, of the following: the location of the call initiator (if mobile-originated); the identity of the group being called (eg all users, all trains, etc); a prefix to the group identity specifying the call area (if fixed network-initiated).",FR,F1_REQ_00099,file_1,NFR,Unknown
REQ101,PROJ-01,Zenodo System,SRSCD-Zenodo,"Any group or broadcast calls initiated in a given location shall be broadcast over an associated area based on the location of the call originator, and also to any fixed network numbers associated with the originating location.",FR,F1_REQ_00100,file_1,NFR,Unknown
REQ102,PROJ-01,Zenodo System,SRSCD-Zenodo,The definition of each broadcast or group call area should take into account factors such as the speed of trains on the line (stopping distance) and the operational control areas.,NFR,F1_REQ_00101,file_1,NFR,Unknown
REQ103,PROJ-01,Zenodo System,SRSCD-Zenodo,Mobiles configured for reception of railway emergency calls entering into a call area where a railway emergency call is ongoing shall automatically join this call.,FR,F1_REQ_00102,file_1,NFR,Unknown
REQ104,PROJ-01,Zenodo System,SRSCD-Zenodo,Cab Radios configured for reception of a call to all drivers in the same area entering an area where a call to all drivers in the same area is ongoing shall automatically join this call unless involved in a higher priority call or involved in a call of the same priority.,FR,F1_REQ_00103,file_1,NFR,Unknown
REQ105,PROJ-01,Zenodo System,SRSCD-Zenodo,"It shall be possible to operate all mobiles in the frequency bands around 900 MHz, allocated for use by the railways, and in the public GSM networks.",NFR,F1_REQ_00104,file_1,NFR,Unknown
REQ106,PROJ-01,Zenodo System,SRSCD-Zenodo,Mobile equipment shall function correctly when travelling at speeds from 0 km/h to 500 km/h.,NFR,F1_REQ_00105,file_1,NFR,Unknown
REQ107,PROJ-01,Zenodo System,SRSCD-Zenodo,Cab radio shall support multi-party voice calls.,FR,F1_REQ_00106,file_1,NFR,Unknown
REQ108,PROJ-01,Zenodo System,SRSCD-Zenodo,General purpose radio should support multi-party voice calls.,FR,F1_REQ_00107,file_1,NFR,Unknown
REQ109,PROJ-01,Zenodo System,SRSCD-Zenodo,Operational radio should support multi-party voice calls.,FR,F1_REQ_00108,file_1,NFR,Unknown
REQ110,PROJ-01,Zenodo System,SRSCD-Zenodo,Cab radio shall support general data applications.,FR,F1_REQ_00109,file_1,NFR,Unknown
REQ111,PROJ-01,Zenodo System,SRSCD-Zenodo,General purpose radio should support general data applications.,FR,F1_REQ_00110,file_1,NFR,Unknown
REQ112,PROJ-01,Zenodo System,SRSCD-Zenodo,Operational radio should support general data applications.,FR,F1_REQ_00111,file_1,NFR,Unknown
REQ113,PROJ-01,Zenodo System,SRSCD-Zenodo,Cab radio should support automatic fax.,FR,F1_REQ_00112,file_1,NFR,Unknown
REQ114,PROJ-01,Zenodo System,SRSCD-Zenodo,General purpose radio should support automatic fax.,FR,F1_REQ_00113,file_1,NFR,Unknown
REQ115,PROJ-01,Zenodo System,SRSCD-Zenodo,Operational radio should support automatic fax.,FR,F1_REQ_00114,file_1,NFR,Unknown
REQ116,PROJ-01,Zenodo System,SRSCD-Zenodo,Cab radio should support train control applications.,FR,F1_REQ_00115,file_1,NFR,Unknown
REQ117,PROJ-01,Zenodo System,SRSCD-Zenodo,General purpose radio should support train control applications.,FR,F1_REQ_00116,file_1,NFR,Unknown
REQ118,PROJ-01,Zenodo System,SRSCD-Zenodo,Operational radio should support train control applications.,FR,F1_REQ_00117,file_1,NFR,Unknown
REQ119,PROJ-01,Zenodo System,SRSCD-Zenodo,Cab radio shall support EIRENE closed user group.,FR,F1_REQ_00118,file_1,NFR,Unknown
REQ120,PROJ-01,Zenodo System,SRSCD-Zenodo,General purpose radio should support EIRENE closed user group.,FR,F1_REQ_00119,file_1,NFR,Unknown
REQ121,PROJ-01,Zenodo System,SRSCD-Zenodo,Operational radio shall support EIRENE closed user group.,FR,F1_REQ_00120,file_1,NFR,Unknown
REQ122,PROJ-01,Zenodo System,SRSCD-Zenodo,Cab radio shall support unconditional call forwarding.,FR,F1_REQ_00121,file_1,NFR,Unknown
REQ123,PROJ-01,Zenodo System,SRSCD-Zenodo,General purpose radio should support unconditional call forwarding.,FR,F1_REQ_00122,file_1,NFR,Unknown
REQ124,PROJ-01,Zenodo System,SRSCD-Zenodo,Operational radio should support unconditional call forwarding.,FR,F1_REQ_00123,file_1,NFR,Unknown
REQ125,PROJ-01,Zenodo System,SRSCD-Zenodo,"Cab radio should support ""if user busy"" call forwarding.",FR,F1_REQ_00124,file_1,NFR,Unknown
REQ126,PROJ-01,Zenodo System,SRSCD-Zenodo,"General purpose radio should support ""if user busy"" call forwarding.",FR,F1_REQ_00125,file_1,NFR,Unknown
REQ127,PROJ-01,Zenodo System,SRSCD-Zenodo,"Operational radio should support ""if user busy"" call forwarding.",FR,F1_REQ_00126,file_1,NFR,Unknown
REQ128,PROJ-01,Zenodo System,SRSCD-Zenodo,"Cab radio should support ""if no reply"" call forwarding.",FR,F1_REQ_00127,file_1,NFR,Unknown
REQ129,PROJ-01,Zenodo System,SRSCD-Zenodo,"General purpose radio should support ""if no reply"" call forwarding.",FR,F1_REQ_00128,file_1,NFR,Unknown
REQ130,PROJ-01,Zenodo System,SRSCD-Zenodo,"Operational radio should support ""if no reply"" call forwarding.",FR,F1_REQ_00129,file_1,NFR,Unknown
REQ131,PROJ-01,Zenodo System,SRSCD-Zenodo,"Cab radio should support ""if not reachable"" call forwarding.",FR,F1_REQ_00130,file_1,NFR,Unknown
REQ132,PROJ-01,Zenodo System,SRSCD-Zenodo,"General purpose radio should support ""if not reachable"" call forwarding.",FR,F1_REQ_00131,file_1,NFR,Unknown
REQ133,PROJ-01,Zenodo System,SRSCD-Zenodo,"Operational radio should support ""if not reachable"" call forwarding.",FR,F1_REQ_00132,file_1,NFR,Unknown
REQ134,PROJ-01,Zenodo System,SRSCD-Zenodo,Cab radio shall support call hold.,FR,F1_REQ_00133,file_1,NFR,Unknown
