,global_id,text,class,subclass
88,F0_REQ_00088,The CNG shall classify packets entering the CPN through its WAN interface (downstream direction) according to a number of predefined priorities. Classification can be done on the basis of different layer 2 and/or layer 3 parameters.,NFR,Usability
89,F0_REQ_00089,"The number of possible values defining the packet priority and, by consequence, the number of queues managed in the downstream direction shall be coherent with the number of concurrent services (data, communication, entertainment) to be treated and supported.",FR,Functional
90,F0_REQ_00090,"When forwarding packets from the WAN interface to the customer network, the CNG shall perform one of the following three actions, depending on the classification results: manage a number of queues corresponding to the different priorities detected in the classification phase for each packet processed, send the packets to some internal buffers or simply drop the packet.",NFR,Usability
91,F0_REQ_00093,"When forwarding packets from the customer network to the WAN interface, the CNG shall manage a number of queues corresponding to the different priorities detected in the classification phase for each packet processed.",NFR,Usability
92,F0_REQ_00094,The CNG shall be able to classify intra-LAN traffic that is simply bridged by the CNG itself within the CPN.,FR,Functional
93,F0_REQ_00091,The CNG shall classify packets coming from the CPN through its LAN interfaces (upstream direction) according to a number of predefined priorities. Classification can be done on the basis of different layer 2 and/or layer 3 parameters.,NFR,Usability
94,F0_REQ_00092,"The number of possible values defining the packet priority and, by consequence, the number of queues managed in the upstream direction shall be coherent with the number of concurrent services (data, communication, entertainment) to be treated and supported.",FR,Functional
95,F0_REQ_00097,"In case of managed services, QoS rules applied by CNG shall be configurable by a remote management system.",NFR,Performance
96,F0_REQ_00098,"In case of unmanaged services, user shall be able to access a QoS configuration function implemented in the CNG.",NFR,Performance
97,F0_REQ_00099,"CNG shall be equipped with an application client to be remotely manageable by the service providers for configuration, monitoring, firmware upgrade purposes. In case of multiple service providers multiple clients configuring different sets of parameters (for example referring to different services) may be present. A single parameter can be modified by a single client only.",FR,Functional
98,F0_REQ_00095,"Traffic marking: depending on what are the parameters used to perform classification, CNDs or CNG itself on behalf of the CNDs shall be able to modify the packets' priority.",FR,Functional
99,F0_REQ_00096,"In case of huge amount of traffic in upstream or downstream directions, a congestion management mechanism shall be implemented in the CNG to minimize the impact from the user experience point of view.",NFR,Usability
100,F0_REQ_00100,"It shall be possible to configure the CNG (e.g. firmware downloading) according to the subscribed services. This operation may be performed when the CNG is connected to the network for the first time, for each new service subscription/modification, or for any technical management (e.g. security, patches, etc.).",NFR,Performance
101,F0_REQ_00101,CNG shall support mechanisms for secure authentication and communication with the remote management system.,NFR,Security
102,F0_REQ_00103,A suitably authorized CPN user (e.g. the system administrator) shall be able to install and activate NGN managed services without the intervention of the subscribing CPN user.,NFR,Security
103,F0_REQ_00104,"A suitably authorized CPN user (e.g. the system administrator) shall be able to manage and configure the provisioning, capabilities and use of NGN managed services from an NGN access point outside the CPN.",NFR,Security
104,F0_REQ_00102,The CNG shall be associated with a unique Hardware ID to be used for identification NGN side.,FR,Functional
105,F0_REQ_00106,"The CNG Remote Management requires to manage a specific set of parameters. At least the following list of parameters shall be available: Customer Identification, Physical Line Identification, list of subscribed services, CNG IP address.",NFR,Reliability
106,F0_REQ_00109,CNG shall support mechanisms allowing the CNDs remote management when applicable.,FR,Functional
107,F0_REQ_00108,CNDs connected to the CPN and devoted to specific NGN managed services shall be remotely manageable.,FR,Functional
108,F0_REQ_00107,"For the CNG management it is recommended to use a single protocol, so as to minimize the complexity and the cost of the service.",FR,Functional
109,F0_REQ_00105,A CPN user shall be able to configure any unmanaged service provided to the user.,NFR,Usability
110,F0_REQ_00110,Protection mechanisms shall be implemented to avoid that a management client could access and modify parameters that is not allow to configure.,NFR,Performance
111,F0_REQ_00111,"The CPN (trough CNDs and/or CNG) shall support manual configuration to insert information to access IMS network (e.g. IMPU, IMPI, Shared keys, Home Network Domain or P-CSCF IP Address, etc.).",FR,Functional
112,F0_REQ_00114,The CND should be able to support bootstrap capabilities in order to retrieve network configuration data to connect the NGN.,FR,Functional
113,F0_REQ_00113,The Network Configuration Server should be able to upload different parameter sets related to service subscription.,FR,Functional
114,F0_REQ_00112,The CND directly or through the CNG must be able to access to Network Configuration Service Function without involving any user interaction.,NFR,Usability
115,F0_REQ_00115,The CND/CNG shall support a mechanism allowing the user to manually modify the association between a public identity (e.g. phone number) and a specific private identity corresponding to a single customer device not provided with a UICC and corresponding also to legal service level agreements between the user and the service provider.,FR,Functional
116,F0_REQ_00116,The CPN (CND and/or CNG) shall support a method to access a Self Configuration Server.,FR,Functional
117,F0_REQ_00117,The CPN should support a capability to ensure QoS and call prioritization for sessions originating or terminating in the H(e)NB.,NFR,Performance
118,F0_REQ_00119,Authorized users shall be able to access NGN-based services using any NGN supported home device.,NFR,Security
119,F0_REQ_00118,"A CND, as defined in clause 3, may use the CNG to access NGN services.",FR,Functional
120,F0_REQ_00120,Both IMS capable devices with or without UICC and non-IMS capable devices without UICC shall be supported.,NFR,Performance
121,F0_REQ_00121,"If the CND contains an ISIM/UICC, it shall support the AKA authentication method (TS 187 001 [8])",NFR,Security
122,F0_REQ_00122,"If the CND does not contain an ISIM/UICC, it shall support the HTTP Digest authentication or the NBA",NFR,Security
123,F0_REQ_00123,"The CND shall provide its registration identity, when it requires the registration to the network.",FR,Functional
124,F0_REQ_00124,"In order to support the NGN services and intra-CPN communications, all the CNDs in the CPN shall be addressable directly or by the mean of the CNG using L2/L3 mechanisms.",NFR,Performance
125,F0_REQ_00126,The CND should support protocol for local authentication in CPN/CNG.,NFR,Security
126,F0_REQ_00127,"The CND shall support the NGN services usage (e.g. voice communications, video communications, IPTV, entertainment, etc.) allowing the connection to the right service control platforms to process the media.",FR,Functional
127,F0_REQ_00128,The CND shall support protocol to access the NGN service layer platforms.,FR,Functional
128,F0_REQ_00129,The CND shall support protocols to access Self Configuration application (as defined in clause 4.1).,FR,Functional
129,F0_REQ_00125,The CND should support protocols for remote access management.,FR,Functional
130,F0_REQ_00133,"The CNG should support or not prevent redirection of IP Multimedia sessions, as defined by TS 181 005 [1], independently from the type of device used (NGN terminal or other CND).",NFR,Performance
131,F0_REQ_00134,"The CPN shall support secure remote access control, based on NGN network functions.",NFR,Security
132,F0_REQ_00131,The CND should be able to communicate its services related capabilities to the CNG.,FR,Functional
133,F0_REQ_00130,The CND shall be able to download and install client application services.,FR,Functional
134,F0_REQ_00132,The CND should be able to support one or more codecs for communication services (as defined by TS 181 005 [1]).,FR,Functional
135,F0_REQ_00136,The CNG shall support a mechanism allowing the support of call forking towards customer non-IMS capable devices and shall able to store information related to private identities of non-IMS capable CNDs.,FR,Functional
136,F0_REQ_00137,(i.e. using the same CND in two different CPNs declaring the same public identity). Supporting this scenario for non IMS capable CNDs is still to be discussed.,NFR,Performance
137,F0_REQ_00139,"In case of managed services, QoS rules applied by CNG shall be configurable by a remote management system",NFR,Performance
138,F0_REQ_00135,"Multiple identities should be supported within the same subscription. Personal service profiles per each identity within the same subscription should be supported. A shared public identity on several terminals, with different private identities, shall be supported (shared IMPU).",FR,Functional
139,F0_REQ_00138,CNG shall be able to classify intra-LAN traffic that is simply bridged by the CNG itself within the CPN.,FR,Functional
140,F0_REQ_00141,The CNG shall support mechanisms for secure authentication and communication with the remote management system.,NFR,Security
141,F0_REQ_00142,"In case of managed services, the CNG shall support zero-touch provisioning to activate new services, starting from Internet access to voice and video services and shall be remotely manageable. In case of unmanaged services the user shall be able to configure the CNG by himself.",FR,Functional
142,F0_REQ_00144,"(e.g. VoIP phones, Video phones, STBs, etc).",FR,Functional
143,F0_REQ_00140,"The CNG shall be equipped with an application client to be remotely manageable by the service providers for configuration, monitoring, firmware upgrade purposes. In case of multiple service providers multiple clients configuring different sets of parameters (for example referring to different services) may be present. A single parameter can be modified by a single client only.",FR,Functional
144,F0_REQ_00143,CNDs connected to the CPN and devoted to specific managed services shall be remotely manageable,FR,Functional
145,F0_REQ_00146,The CND/CNG shall support a mechanism allowing the user to manually modify the association between a public identity (e.g. phone number) and a specific private identity corresponding to a single customer device not provided with a UICC.,FR,Functional
146,F0_REQ_00147,Successful authentication is a prerequisite for the processing of any on-line or offline CEPS transaction,NFR,Security
147,F0_REQ_00148,"On-line authentication must take place between the card issuer and the CEP card for load, unload, and currency exchange transactions",NFR,Security
148,F0_REQ_00149,The card issuer and the CEP card share a secret key to generate and verify MACs,FR,Functional
149,F0_REQ_00145,The CND directly or through the CNG must be able to access to Network Configuration Service Function avoiding any user interaction. (and so the Network Configuration Server should be able to upload different parameter related to service subscription).,NFR,Usability
150,F0_REQ_00150,Off-line authentication must take place between a PSAM in the POS device and the CEP card for purchase and cancel last purchase transactions,NFR,Security
151,F0_REQ_00151,"The card and the PSAM must use a public key algorithm for mutual authentication and session key exchange, as no permanent shared secret key may exist between the CEP card and the PSAM",NFR,Security
152,F0_REQ_00152,"To load value into a slot of the CEP card securely, the load device establishes a connection between the issuer and the CEP card",NFR,Security
153,F0_REQ_00153,"The card should use a unique diversified secret key, personalized into the card, to generate and authenticate transaction signatures",NFR,Security
154,F0_REQ_00154,"If this is not a cash load, the funds issuer needs to verify that the funds are requested by the legitimate account owner, which is normally done by the presentation of an enciphered PIN",FR,Functional
155,F0_REQ_00157,The load device sends S1 in an authorization request to the issuer,NFR,Security
156,F0_REQ_00158,The load device also provides for verification of the identity of the cardholder (with either on-line or off-line PIN verification) and forwards verification data in the authorization request,NFR,Security
157,F0_REQ_00155,"The card issuer needs to ensure that the load acquirer is guaranteeing payment for the electronic value, and that the card is authentic",FR,Functional
158,F0_REQ_00156,"The load acquirer needs to ensure that the issuer is the true owner of the card, and, in the case of an apparent failure of the load, the load acquirer needs the card presented to authenticate the failure",NFR,Security
159,F0_REQ_00159,The issuer validates S1 to authenticate the card and the data to be used in the transaction,NFR,Security
160,F0_REQ_00160,The issuer sends S2 to the load acquirer in the authorization response message,NFR,Security
161,F0_REQ_00162,"The cardholder must have an account relationship with the card issuer, and funds removed from the card are credited to the cardholder account only after the card issuer authenticates the card",NFR,Security
162,F0_REQ_00164,"The card generates S1, using data from the card and load device, and sends S1 to the card issuer to authenticate the card and the data that is to be used in the transaction",NFR,Security
163,F0_REQ_00163,"The issuer needs only to authenticate the card, and the card needs only to authenticate the issuer and that the data is the same as used by the issuer",NFR,Security
164,F0_REQ_00161,Unloads are permitted only to an account controlled by the card issuer and are performed only at a load device under the control of the card issuer,FR,Functional
165,F0_REQ_00167,"During a purchase transaction, the CEP card must ensure that it is dealing with an authentic POS device, and it must generate a signature to allow the card issuer to verify the integrity of the transaction",NFR,Security
166,F0_REQ_00168,"The POS device must ensure that it is dealing with an authentic card, and guarantee integrity of transactions and batches to the merchant acquirer",NFR,Security
167,F0_REQ_00169,"In the case of a reversal, the CEP card must re-authenticate the PSAM",NFR,Security
168,F0_REQ_00166,"In the case of an unsuccessful completion, exception processing outlined in the On-line Exception Processing section is performed",FR,Functional
169,F0_REQ_00165,"The card issuer generates S2, which is sent to the card to allow the card to validate the card issuer??s authenticity and to ensure that the data used by the card in the transaction is the same as the card issuer intended",FR,Functional
170,F0_REQ_00174,Transmissions between host systems should be protected by MACs based on unique keys that are shared by the nodes involved,NFR,Performance
171,F0_REQ_00172,"The PSAM authenticates that the purchase transaction being canceled was performed by the PSAM, and that the transaction being canceled is part of the active batch",NFR,Security
172,F0_REQ_00171,"During a Cancel Last Purchase transaction, the CEP card is authenticated by the PSAM in the POS device",NFR,Security
173,F0_REQ_00170,"The card must ensure that the transaction is performed by the same POS device as was used for the purchase being canceled, and that the amount of the cancellation is the same as the amount of the purchase, or, in the case of an incremental purchase, the same as the amount of the last step",FR,Functional
174,F0_REQ_00173,The card issuer and the merchant acquirer also authenticate the transaction when they receive it,NFR,Security
175,F0_REQ_00175,"The transaction signatures ensure end to end integrity of transmitted data for load, unload, and currency exchange transactions",NFR,Security
176,F0_REQ_00176,These totals are used by the merchant acquirer to ensure the integrity of the batch,NFR,Security
177,F0_REQ_00178,Scheme providers must assign unique identifying numbers to merchant acquirers who provide PSAMs,NFR,Performance
178,F0_REQ_00179,These merchant acquirers must then assign unique identifiers to PSAMs,NFR,Performance
179,F0_REQ_00177,"The count and amount of the transactions in the batch must be protected by the S4 MAC,  This information is not part of the card issuer??s verification process",FR,Functional
180,F0_REQ_00181,"Contain the CA public RSA key, the PSAM??s private RSA key and optionally the certificates that the POS device uses to perform mutual authentication with the CEP card",NFR,Security
181,F0_REQ_00180,"Each PSAM must maintain a transaction count, The unique PSAM ID and the transaction count are used during a conversation with a CEP card. The transaction count must not be reset during the life of the PSAM",FR,Functional
182,F0_REQ_00184,Contain the details of a transaction between the initialize command for that transaction and the initialize command for the next transaction,FR,Functional
183,F0_REQ_00182,"Perform the calculation required to generate a signature using the PSAM??s private RSA key, to allow the CEP card to validate the PSAM",FR,Functional
184,F0_REQ_00183,Contain the latest transaction count and amount of batches that have not been deleted from the POS device by the merchant or merchant acquirer,FR,Functional
185,F0_REQ_00188,Send transactions to card issuers or their processors in a standard format defined in agreement with the scheme provider,FR,Functional
186,F0_REQ_00187,Ensure that each batch of transactions is cleared and settled once and only once,FR,Functional
187,F0_REQ_00186,Perform the verification of signatures and certificates during a purchase and cancel last purchase transaction,FR,Functional
188,F0_REQ_00189,"Ensure that CA public keys, aggregation parameters, blocking lists and issuer certificate revocation lists from the scheme providers are sent to the POS devices",FR,Functional
189,F0_REQ_00185,"Be the entity that maintains control over the flow of a transaction, ensuring that all security is enforced",NFR,Security
190,F0_REQ_00193,"The scheme provider must ensure that the entire process between merchants, merchant acquirers, card issuers, and processors is auditable and reconcilable",FR,Functional
191,F0_REQ_00192,"If a supported scheme provider has a dispute resolution process, participate in that dispute resolution process with connecting processors to resolve any issues related to invalid transactions. These resolution processes should include a mechanism for repayment of funds associated with invalid transactions",FR,Functional
192,F0_REQ_00190,"Share one or more MAC keys with connecting processors, create a MAC on each transmission sent to another processor, and verify the MAC on each transmission received from another processor",FR,Functional
193,F0_REQ_00191,Send transactions to other processors in a standard format defined in agreement with the scheme provider,FR,Functional
194,F0_REQ_00194,"If errors in the card issuer MAC are discovered by the card issuer during its processing of the transactions, a dispute mechanism, established by the scheme provider, may be used to have money refunded",FR,Functional
195,F0_REQ_00195,"If a scheme provider establishes a central error repository, all transactions for the scheme with MAC errors must be sent to that central error repository whether or not they are submitted to the dispute process",FR,Functional
196,F0_REQ_00199,The amount to be reversed is the amount of the last step of the transaction. The reversal command sent to the CEP card contains a S2 MAC computed by the PSAM,FR,Functional
197,F0_REQ_00197,The timing of payment to the merchant must be established between the merchant and the merchant acquirer,FR,Functional
198,F0_REQ_00196,"Payment for a transaction is only required when a detail transaction is submitted for payment, A merchant acquirer may choose to pay the merchant using the batch total",FR,Functional
199,F0_REQ_00198,"A purchase transaction may be reversed, prior to the removal of the CEP card from the POS device, by sending a purchase reversal command to the CEP card, The CEP card must authenticate the PSAM using certificates previously exchanged",NFR,Security
200,F0_REQ_00201,"The CEP card authenticates the PSAM using the certificates previously received and the S2, The CEP card increments the value of the purse and logs the transaction",NFR,Security
201,F0_REQ_00200,"The PSAM in the POS device generates a merchant acquirer S5 MAC for the transaction, computes a new S4 MAC on the updated batch total count and amount, and logs the transaction",FR,Functional
202,F0_REQ_00204,"If the POS device supports multiple applications or multiple transaction types, an interaction between the terminal and consumer or sales agent determines the CEP application and the function to be performed (cancel last purchase transaction)",FR,Functional
203,F0_REQ_00202,The CEP card sends a response to the reversal command to the POS device. The reversal is considered to be successful even in the event of a negative response or no response from the CEP card,FR,Functional
204,F0_REQ_00203,"After the CEP card is inserted in the POS device, the POS device initiates the cancel last purchase transaction",FR,Functional
205,F0_REQ_00207,The PSAM in the POS device generates a merchant acquirer S5 MAC for the transaction and a new S4 MAC for the batch total count and amount and logs the transaction. The amount of the canceled last purchase transaction is subtracted from the header amount. The transaction is kept in a data store associated with the POS device until the merchant acquirer collects it,FR,Functional
206,F0_REQ_00205,"The CEP card verifies that the PSAM is the PSAM used in the original transaction, computes a S1 MAC using the same DES session key that was used for the purchase transaction being cancelled, and responds to the POS device with the S1 and the identification of the last transaction. If the purchase transaction to be canceled has been canceled or is not part of the active batch, the command is not allowed",FR,Functional
207,F0_REQ_00209,The CEP card authenticates the terminal using the S2 MAC and the session key from the purchase transaction being cancelled. The CEP card increments the value of the purse and logs the transaction. The CEP card verifies that the cancellation amount is equal to the amount of the last step of the purchase transaction,NFR,Security
208,F0_REQ_00208,"A credit command, which contains the S2 MAC computed by the PSAM using the session key, is sent to the CEP card",FR,Functional
