,id,text,class,subclass,confidence,reasons_rlhf,correct_class,correct_subclass,comment
19,F0_REQ_00678,The application should be portable with iOS and Android.,FR,Functional,0.2,low_confidence,,,
20,F0_REQ_00684,It should generate a report about registered complaint to the admin and response report to the user who has submitted his queries.,FR,Functional,0.2,low_confidence,,,
21,F0_REQ_00685,The system should maintain correct schedules of labs and the documentation of all the lab equipment.,FR,Functional,0.2,low_confidence,,,
22,F0_REQ_00686,The system should use the company colors and logos.,FR,Functional,0.2,low_confidence,,,
23,F0_REQ_00715,Information transmission should be securely transmitted to server without any changes in information.,FR,Functional,0.2,low_confidence,,,
28,F0_REQ_00752,The system should ask the user to key in the pickup date.,FR,Functional,0.2,low_confidence,,,
25,F0_REQ_00732,It should give a drill-down view of all data in the medical record after logging in.,FR,Functional,0.2,low_confidence,,,
26,F0_REQ_00749,The system should take the customer name.,FR,Functional,0.2,low_confidence,,,
27,F0_REQ_00751,The system should keep the customer email.,FR,Functional,0.2,low_confidence,,,
30,F0_REQ_00754,The system should have to keep the location where the doughnut will be send.,FR,Functional,0.2,low_confidence,,,
29,F0_REQ_00753,The system should require the user to state time when should the doughnut be delivered.,FR,Functional,0.2,low_confidence,,,
31,F0_REQ_00758,The system should not leave any cookies on the customer’s computer containing the user’s password.,NFR,Security,0.2,low_confidence,,,
32,F0_REQ_00764,The logo and the current basic design of registration system should be displayed. The system should be attractive according to the clients. The design and the color should make users feel comfortable when using the system instead of flashing useless colors on the screen. The design should also reflect the seriousness of the environment.,FR,Functional,0.2,low_confidence,,,
40,F0_REQ_00815,The system should warn ECA users about the malfunction of the system.,FR,Functional,0.2,low_confidence,,,
33,F0_REQ_00765,The system should be able to manage all the information incoming from the database and the catalogue.,FR,Functional,0.2,low_confidence,,,
34,F0_REQ_00767,For the system to successfully operate the registration system should be integrated with other IT services and the portal.,FR,Functional,0.2,low_confidence,,,
35,F0_REQ_00768,The system should need to be entirely self-supporting since the users would be using it only to register courses.,FR,Functional,0.2,low_confidence,,,
36,F0_REQ_00769,The Web interface should be compatible with standards in order to be usable via all major Web browsers in a wide variety of environments.,NFR,Usability,0.2,low_confidence,,,
37,F0_REQ_00780,The available server must be reliable and the network connectivity in the supermarket should be proper for smooth flow of all operations and data.,FR,Functional,0.2,low_confidence,,,
38,F0_REQ_00810,The system should require the user to state time when should the doughnut be delivered,FR,Functional,0.2,low_confidence,,,
39,F0_REQ_00814,To prevent attacks the system should generate random word and ask the user to enter it correctly for multiple tryings.,FR,Functional,0.2,low_confidence,,,
44,F0_REQ_00959,The MTBF (if any) should not be less than 2 months.,FR,Functional,0.2,low_confidence,,,
41,F0_REQ_00816,The system should be simple to use,FR,Functional,0.2,low_confidence,,,
42,F0_REQ_00957,The application should be able to support 100 concurrent users without any performance degradation.,NFR,Performance,0.2,low_confidence,,,
43,F0_REQ_00958,The system should be able to scale up to 500 concurrent users (if there is a need in the future) by installing additional hardware components.,NFR,Performance,0.2,low_confidence,,,
46,F0_REQ_00964,The system should be easy enough to maintain that someone else could do it with a manual and a few hours training.,FR,Functional,0.2,low_confidence,,,
45,F0_REQ_00961,The user interface of the system should be very user friendly.,NFR,Usability,0.2,low_confidence,,,
47,F0_REQ_00965,The system should be portable to various operating environments.,FR,Functional,0.2,low_confidence,,,
4,F0_REQ_00399,While streaming a movie buffering should only occur if there is latency in the user\92s connection.,NFR,Performance,0.4,low_confidence,,,
